id,name
1013,Tinde
1014,Tarime
1015,United Republic of Tanzania
1016,Tanga Region
1017,Tanga
1018,Tabora Region
1019,Tabora
1020,Sumbawanga
1021,Soni
1022,Songwa
1023,Somanda
1024,Sokoni
1025,Sirari
1026,Singida Region
1027,Singida
1028,Sikonge
1029,Shinyanga Region
1030,Shinyanga
1031,Shelui
1032,Sepuka
1033,Sea View
1034,Same
1035,Rulenge
1036,Rukwa Region
1037,Rujewa
1038,Regeza Mwendo
1039,Coast Region
1040,Puma
1041,Poli
1042,Pemba South Region
1043,Pemba North Region
1044,Pangani
1045,Old Shinyanga
1046,Nzega
1047,Nyanguge
1048,Nyamuswa
1049,Nyalikungu
1050,Nyakato
1051,Nyakahanga
1052,Nyakabindi
1053,Nsunga
1054,Nshamba
1055,Nkove
1056,Nkoaranga
1057,Njombe
1058,Nguruka
1059,Ngudu
1060,Ngorongoro
1061,Ngerengere
1062,Ngara
1063,Nganane
1064,Ndungu
1065,Nduli
1066,Ndago
1067,Nansio
1068,Nangwa
1069,Namanyere
1070,Namanga
1071,Nakatunguru
1072,Naberera
1073,Mwembe
1074,Mwaya
1075,Mwanza Region
1076,Mwanza
1077,Mwanga
1078,Mwadui
1079,Mvomero
1080,Musoma
1081,Muriti
1082,Mungaa
1083,Muleba
1084,Muheza
1085,Mugumu
1086,Mugango
1087,Mtwango
1088,Mto wa Mbu
1089,Mtinko
1090,Mtimbira
1091,Mtambile
1092,Msowero
1093,Msanga
1094,Mpwapwa
1095,Mpanda
1096,Moshi
1097,Morogoro Region
1098,Morogoro
1099,Monduli
1100,Mlowo
1101,Mlimba
1102,Mlangali
1103,Mlandizi
1104,Mlalo
1105,Mkuranga
1106,Mkokotoni
1107,Mwandiga
1108,Misungwi
1109,Misasi
1110,Mikumi
1111,Micheweni
1112,Mhango
1113,Mgandu
1114,Mbumi
1115,Mbulu
1116,Mbuguni
1117,Mbeya Region
1118,Mbeya
1119,Mazinde
1120,Matui
1121,Matonga
1122,Matamba
1123,Matai
1124,Maswa
1125,Masumbwe
1126,Masoko
1127,Masiwani
1128,Masama
1129,Marwa
1130,Marombosa
1131,Mara Region
1132,Maramba
1133,Maneromango
1134,Malya
1135,Malinyi
1136,Malangali
1137,Malampaka
1138,Makuyuni
1139,Makungu
1140,Makumbako
1141,Makanya
1142,Majengo
1143,Mahonda
1144,Mahenge
1145,Mahanje
1146,Kihangara
1147,Magugu
1148,Magomeni
1149,Magomeni
1150,Magole
1151,Mafinga
1152,Mabibe
1153,Mabamba
1154,Mabama
1155,Lushoto
1156,Lupiro
1157,Lugoba
1158,Longido
1159,Liwale
1160,Lindi Region
1161,Lembeni
1162,Lalago
1163,Laela
1164,Kyela
1165,Kyaka
1166,Kwakoa
1167,Kongwa
1168,Kondoa
1169,Konde
